"",,
"",PREGLED FORMIRANIH UGOVORA,
"",,
"",,,,
"",ID kod prodavca,,Svi ID kodovi,
"",,,,
"",Vremenski period,,01.09.2019 00:00 - 26.09.2019 05:40,
"",,,,
"",Registarski broj,,Svi,
"",,,,
"",PIB,,Svi,
"",,,,
"",Tip ugovora,,Svi,
"",,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",R. br.,,"Brojugovora",,"BrojTAG-a",,Kupac,,"BrojJPPSugovora",,"DatumJPPSugovora",,"Registarskibroj",,Kategorij,,"Tipugovora",,"Datumformiranj",,"Datumva?enja",,"ID kodprodavc",
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/28,,19221167067/425314274,,"JUGOEXSIDOO",,54-107,,05.09.201,,34PRG75,,4,,post-pai,,"26.09.201905:39",,26.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,1.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/27,,19200563484/424729628,,"JUGOEXSIDOO",,54-107,,05.09.201,,34PSD47,,4,,post-pai,,"26.09.201905:31",,26.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,2.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/26,,19221167778/425314345,,"JUGOEXSIDOO",,54-107,,05.09.201,,34JDE45,,4,,post-pai,,"26.09.201903:40",,26.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,3.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/25,,19221167695/425314337,,"JUGOEXSIDOO",,54-107,,05.09.201,,34JST81,,4,,post-pai,,"24.09.201903:36",,24.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,4.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/24,,19221167869/425314354,,"JUGOEXSIDOO",,54-107,,05.09.201,,PB2403KT,,4,,post-pai,,"21.09.201916:57",,21.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,5.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/23,,19221167612/425314329,,"JUGOEXSIDOO",,54-107,,05.09.201,,PB1551TP,,4,,post-pai,,"21.09.201913:10",,21.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,6.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/22,,19221167349/425314302,,"JUGOEXSIDOO",,54-107,,05.09.201,,34YM8974,,4,,post-pai,,"18.09.201902:43",,18.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,7.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,2411/21,,19221167828/425314350,,"JUGOEXSIDOO",,54-107,,05.09.201,,34JST79,,4,,post-pai,,"17.09.201922:07",,17.09.202,,9411,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,8.,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
